	-170	-150	-120	-90	-60	-30	0	30	60	90	120	150	180	-170	ось Х
90	2742	3074	3586	4096	4604	5116	5624	6136	6646	7156	7666	8176	8686	8846	52,00
60	1215	1722	2485	3250	4014	4778	5542	6305	7068	7832	8596	9360	10124	10374	826,00
30	288	899	1817	2735	3653	4571	5490	6407	7326	8244	9162	10080	10999	11300	1880,00
0	59	695	1651	2607	3564	4520	5476	6433	7390	8346	9303	10260	11216	11530	2964,00
-30															4046,00
-60															5102,00
-90															5874,00
